elapsed_s,pid,VmRSS_kB,threads,cgroup,frozen
296.03,7536,493360 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
298.237,7536,496632 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
300.479,7536,496252 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
302.723,7536,500108 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
304.952,7536,495028 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
307.171,7536,499908 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
309.39,7536,499864 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
311.571,7536,499064 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
313.791,7536,498684 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
316.03,7536,498752 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
318.256,7536,498828 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
320.482,7536,498412 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
322.654,7536,494428 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
324.885,7536,497228 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
327.118,7536,497764 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
329.351,7536,497500 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
331.543,7536,497208 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
333.723,7536,492220 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
335.964,7536,495824 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
338.184,7536,499672 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
340.399,7536,499800 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
342.612,7536,499912 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
344.818,7536,495032 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
347.053,7536,498624 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
349.242,7536,499588 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
351.441,7536,499076 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
353.636,7536,499048 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
355.831,7536,495196 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
358.062,7536,499120 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
360.293,7536,499080 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
362.49,7536,499144 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
364.708,7536,498344 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
366.936,7536,498504 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
369.185,7536,498744 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
371.398,7536,498436 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
373.562,7536,494548 kB,58,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
375.769,7536,496896 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
377.996,7536,498004 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
380.214,7536,497188 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
